playerID,B_G,B_AB,B_R,B_H,B_2B,B_3B,B_HR,B_RBI,B_SB,B_CS,B_BB,B_SO,B_IBB,B_HBP,B_SH,B_SF,B_GIDP,P_playerID,P_W,P_L,P_G,P_GS,P_CG,P_SHO,P_SV,P_IPOuts,P_H,P_ER,P_HR,P_BB,P_SO,P_BAOpp,P_ERA,P_IBB,P_WP,P_HBP,P_BK,P_BFP,P_GF,P_R,P_SH,P_SF,P_GIDP,f_playerID,f_G,f_PO,f_A,f_E,f_DP,f_PB,f_WP,f_SB,f_CS,f_ZR,award_count,nomination_count,Classification
boleyjo01,540.0,1780.0,203.0,478.0,88.0,22.0,7.0,227.0,15.0,8.0,130,84.0,0.0,13.0,56.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,boleyjo01,529.0,919.0,1331.0,102.0,245.0,0.0,0.0,0.0,0.0,0.0,,1.0,0
bridgto01,424.0,1003.0,83.0,181.0,27.0,8.0,0.0,72.0,0.0,0.0,74,271.0,0.0,0.0,65.0,0.0,6.0,bridgto01,194.0,138.0,424.0,362.0,200.0,33.0,10.0,8479,2675.0,1122.0,181,1192.0,1674.0,0.24625000000000005,3.7206249833106995,0.0,59.0,35.0,8.0,12165.0,47.0,1321.0,0.0,0.0,0.0,bridgto01,424.0,144.0,469.0,24.0,23.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,1
boudrlo01,1646.0,6029.0,861.0,1779.0,385.0,66.0,68.0,789.0,51.0,50.0,796,309.0,0.0,34.0,164.0,0.0,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,boudrlo01,1618.0,3265.0,4877.0,230.0,1205.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,1
brechha01,321.0,673.0,48.0,129.0,13.0,5.0,2.0,44.0,0.0,0.0,45,121.0,0.0,4.0,24.0,0.0,16.0,brechha01,133.0,92.0,318.0,240.0,125.0,25.0,18.0,5723,1731.0,618.0,117,536.0,901.0,0.23083333333333336,2.7041666309038797,0.0,18.0,37.0,5.0,7821.0,53.0,701.0,0.0,0.0,0.0,brechha01,318.0,78.0,376.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0
blackew01,237.0,443.0,31.0,77.0,12.0,1.0,1.0,22.0,0.0,0.0,12,73.0,0.0,0.0,28.0,0.0,8.0,blackew01,82.0,78.0,236.0,169.0,69.0,15.0,10.0,3963,1150.0,484.0,67,562.0,839.0,0.23545454545454547,3.8590909405188127,0.0,28.0,44.0,2.0,5576.0,49.0,562.0,0.0,0.0,0.0,blackew01,236.0,46.0,311.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0
boyercl02,1725.0,5780.0,645.0,1396.0,200.0,33.0,162.0,654.0,41.0,28.0,470,931.0,74.0,25.0,37.0,53.0,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,boyercl02,1689.0,1902.0,3810.0,198.0,443.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0
boyerke01,2034.0,7455.0,1104.0,2143.0,318.0,68.0,282.0,1141.0,105.0,77.0,713,1017.0,97.0,20.0,17.0,63.0,185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,boyerke01,1992.0,2376.0,3737.0,274.0,417.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,0
breweji01,586.0,140.0,2.0,21.0,2.0,0.0,0.0,9.0,1.0,0.0,10,52.0,0.0,1.0,7.0,0.0,1.0,breweji01,69.0,65.0,584.0,35.0,1.0,1.0,132.0,3122,898.0,355.0,92,360.0,810.0,0.24444444444444446,3.542777783340878,77.0,41.0,10.0,3.0,4298.0,351.0,401.0,0.0,0.0,0.0,breweji01,584.0,30.0,150.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,,1.0,0
bolinbo01,496.0,423.0,39.0,69.0,9.0,1.0,6.0,35.0,1.0,0.0,35,166.0,0.0,3.0,21.0,0.0,6.0,bolinbo01,88.0,75.0,495.0,164.0,32.0,10.0,50.0,4728,1364.0,596.0,164,597.0,1175.0,0.2192857142857143,3.2207142966134206,71.0,56.0,60.0,3.0,6671.0,161.0,687.0,0.0,0.0,0.0,bolinbo01,495.0,87.0,190.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,,1.0,0
brocklo01,2616.0,10332.0,1610.0,3023.0,486.0,141.0,149.0,900.0,938.0,307.0,761,1730.0,124.0,49.0,47.0,46.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,brocklo01,2507.0,4394.0,142.0,196.0,29.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1
